model_name,dataset_name,train_idc,test_idc,random_seed,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,AUROC,n_params
gcn-a,mnist_data,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0,0.9750600961538461,0.9749441450831959,0.9750654540045554,0.9748473690334778,0.9750600961538461,0.9860385028711193,1209114
gcn-b,mnist_data,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0,0.9772636217948718,0.9772708673088614,0.977393047079237,0.9769969529677569,0.9772636217948718,0.9872355471099876,1209114
gcn-c,mnist_data,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0,0.9814703525641025,0.9813431358954429,0.9814952317799882,0.9812760991982964,0.9814703525641025,0.9896092017180799,1209114
gcn-d,mnist_data,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0,0.9621394230769231,0.9621000425815405,0.962228895191314,0.9616884263890324,0.9621394230769231,0.9787409066848737,1209114
gcn-e,mnist_data,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0,0.9689503205128205,0.9687577543024787,0.9689615003563372,0.9685870386838749,0.9689503205128205,0.9825691123396861,1209114
