model_name,dataset_name,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,AUROC,n_params,accuracy_std,precision_macro_std,precision_weighted_std,recall_macro_std,recall_weighted_std
imagine_cnn,cross_subject_data_0_new,0.5452586206896551,0.5568806316294028,0.5572603890238639,0.5445502996589301,0.5452586206896551,0.6964699318017327,1264684.0,,,,,
imagine_cnn,cross_subject_data_1_new,0.5463362068965517,0.5968511826942365,0.5974192464824926,0.5417639683804648,0.5463362068965517,0.6948444554902704,1264684.0,,,,,
imagine_cnn,cross_subject_data_2_new,0.5592672413793104,0.5703429744627541,0.5707473142448591,0.5597657367668097,0.5592672413793104,0.7064688533812407,1264684.0,,,,,
imagine_cnn,cross_subject_data_3_new,0.5431034482758621,0.5508464480492964,0.5518894802986067,0.5431767714061397,0.5431034482758621,0.6955083344033943,1264684.0,,,,,
imagine_cnn,cross_subject_data_4_new,0.5431034482758621,0.5561177034330682,0.5555809725579672,0.5425731101651067,0.5431034482758621,0.6949738676551914,1264684.0,,,,,
imagine_cnn,cross_subject_data_5_new,0.5603448275862069,0.5725282763148585,0.5748981064568368,0.559672224201931,0.5603448275862069,0.7067510774155011,1264684.0,,,,,
imagine_cnn,cross_subject_data_6_new,0.5334051724137931,0.5650780493452907,0.5665038389036977,0.531685145278607,0.5334051724137931,0.6879662935328861,1264684.0,,,,,
imagine_cnn,cross_subject_data_7_new,0.5474137931034483,0.5634634781620578,0.5648525293292918,0.5469969178894128,0.5474137931034483,0.6981408517313639,1264684.0,,,,,
imagine_cnn,cross_subject_data_8_new,0.5086206896551724,0.5359143552754799,0.5376960805999501,0.5099787671096634,0.5086206896551724,0.6733923680418655,1264684.0,,,,,
imagine_cnn,cross_subject_data_9_new,0.5290948275862069,0.5403031131014269,0.5486108028689278,0.5281219667402002,0.5290948275862069,0.6862017036942707,1264684.0,,,,,
imagine_fcn,cross_subject_data_0_new,0.5086206896551724,0.509768765985055,0.5102413601352289,0.5082496690382872,0.5086206896551724,0.6722406400651791,1232900.0,,,,,
imagine_fcn,cross_subject_data_1_new,0.5183189655172413,0.5253362822360524,0.5250851061967143,0.516468541460391,0.5183189655172413,0.6776145359232745,1232900.0,,,,,
imagine_fcn,cross_subject_data_2_new,0.4978448275862069,0.5006628884033665,0.5006452998356653,0.4987128091891107,0.4978448275862069,0.6656872925540702,1232900.0,,,,,
imagine_fcn,cross_subject_data_3_new,0.47737068965517243,0.47619460373866274,0.4773095422691071,0.4765684933708506,0.47737068965517243,0.6511890894127785,1232900.0,,,,,
imagine_fcn,cross_subject_data_4_new,0.5,0.4990514320911611,0.4988491963403885,0.49994813473899563,0.5,0.6665816813129349,1232900.0,,,,,
imagine_fcn,cross_subject_data_5_new,0.5161637931034483,0.5190231845925672,0.5207048837881318,0.5156086039698953,0.5161637931034483,0.6772777460958784,1232900.0,,,,,
imagine_fcn,cross_subject_data_6_new,0.509698275862069,0.5075663758326296,0.507430947135495,0.5076997499781579,0.509698275862069,0.6719586509132778,1232900.0,,,,,
imagine_fcn,cross_subject_data_7_new,0.4827586206896552,0.48686617716534,0.4876466694474049,0.48393021785516716,0.4827586206896552,0.6558706296841545,1232900.0,,,,,
imagine_fcn,cross_subject_data_8_new,0.5129310344827587,0.5129236447707183,0.5133888753726807,0.5126698716129381,0.5129310344827587,0.6751741985262592,1232900.0,,,,,
imagine_fcn,cross_subject_data_9_new,0.5,0.4983149971095229,0.5028740028027155,0.4967306235898209,0.5,0.6651336106845667,1232900.0,,,,,
imagine_gcn,cross_subject_data_0_new,0.49245689655172414,0.49484327713975323,0.49582484679495237,0.4923430458911837,0.49245689655172414,0.6616742394476541,1232900.0,,,,,
imagine_gcn,cross_subject_data_1_new,0.49245689655172414,0.4896076235309216,0.49038903024567576,0.4926412937606156,0.49245689655172414,0.6616177694333722,1232900.0,,,,,
imagine_gcn,cross_subject_data_2_new,0.4504310344827586,0.4561012052464132,0.4555896960819386,0.4503988617279343,0.4504310344827586,0.6335281858336189,1232900.0,,,,,
imagine_gcn,cross_subject_data_3_new,0.46875,0.47581324886139054,0.47698710763393887,0.4682607879246488,0.46875,0.6456459127744152,1232900.0,,,,,
imagine_gcn,cross_subject_data_4_new,0.5,0.5010326503922349,0.5015934312397421,0.5002671207881795,0.5,0.6668328048165587,1232900.0,,,,,
imagine_gcn,cross_subject_data_5_new,0.49461206896551724,0.4951041444647173,0.49714192692988257,0.49326329400369556,0.49461206896551724,0.6625011647107855,1232900.0,,,,,
imagine_gcn,cross_subject_data_6_new,0.46228448275862066,0.47029183151999643,0.471982587229968,0.46283629282629984,0.46228448275862066,0.6419776982230337,1232900.0,,,,,
imagine_gcn,cross_subject_data_7_new,0.4827586206896552,0.4845437066573157,0.4852528813237813,0.48079081162245463,0.4827586206896552,0.6541152937486145,1232900.0,,,,,
imagine_gcn,cross_subject_data_8_new,0.49245689655172414,0.4929977968763358,0.49338271424224195,0.4925344061122003,0.49245689655172414,0.6617035073917155,1232900.0,,,,,
imagine_gcn,cross_subject_data_9_new,0.47844827586206895,0.4804486051501044,0.4853281641703724,0.4754237670557032,0.47844827586206895,0.6509513030033619,1232900.0,,,,,
imagine_gcn_auto,cross_subject_data_0_new,0.572198275862069,0.583544046440662,0.584443405717271,0.5722856248491923,0.572198275862069,0.714932282134553,1236996.0,,,,,
imagine_gcn_auto,cross_subject_data_1_new,0.5420258620689655,0.5536356948535945,0.5535737859590169,0.5416002308274369,0.5420258620689655,0.6942287746876257,1236996.0,,,,,
