model_name,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,AUROC,n_params,accuracy_std,precision_macro_std,precision_weighted_std,recall_macro_std,recall_weighted_std
gcn-a,0.5615301724137931,0.5673493678227766,0.5685414123874916,0.5608827228073748,0.5615301724137931,0.7073834536814111,1236996.0,0.016011011665417622,0.01778390703405407,0.017825594273299362,0.01616323383264373,0.016011011665417622
gcn-b,0.5627155172413794,0.5833569836144802,0.5849681660312507,0.562319443930775,0.5627155172413794,0.7083581495188263,1236996.0,0.013779252504298732,0.014277014945075099,0.014775096861479157,0.013531985588321015,0.013779252504298732
gcn-c,0.4911637931034483,0.5207813163375192,0.5228247606788645,0.49048448608647954,0.4911637931034483,0.6605611025734014,1236996.0,0.016174166530840684,0.02725555853940623,0.027350039553568583,0.01545186983578903,0.016174166530840684
gcn-d,0.5205818965517242,0.5487053866076932,0.5508441987592669,0.5202659044429355,0.5205818965517242,0.6803606698444625,1236996.0,0.011521720951007076,0.019109570483888963,0.02054460241052377,0.011672962805874699,0.011521720951007076
gcn-e,0.5077586206896552,0.5204216272784967,0.5220417537962885,0.5072447473454564,0.5077586206896552,0.6716508822504846,1236996.0,0.013457130030545274,0.014441526104451239,0.014675017397195685,0.014081278925705485,0.013457130030545274
