model_name,dataset_name,train_idc,test_idc,random_seed,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,AUROC,n_params
imagine_cnn,cross_subject_data_3_new_20_subjects,"[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]","[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]",688933,0.525,0.5331852281142342,0.5362882739302618,0.5219088082460176,0.525,0.681807493644397,1264684
imagine_cnn,cross_subject_data_4_new_20_subjects,"[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]","[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]",688933,0.54375,0.5466208133971292,0.5495200358851675,0.5429197994987469,0.54375,0.6955881298132801,1264684
imagine_cnn,cross_subject_data_5_new_20_subjects,"[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]","[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]",688933,0.50625,0.5127456526293735,0.5124528598365808,0.5060702001250781,0.50625,0.6706976402852398,1264684
imagine_cnn,cross_subject_data_6_new_20_subjects,"[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]","[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]",688933,0.55625,0.5618170426065162,0.5714733709273183,0.5509103641456583,0.55625,0.7013545586277972,1264684
imagine_cnn,cross_subject_data_7_new_20_subjects,"[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]","[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]",688933,0.5,0.5010449016563148,0.4998169804606625,0.5040910665910666,0.5,0.6686459649382082,1264684
imagine_cnn,cross_subject_data_8_new_20_subjects,"[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]","[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]",688933,0.51875,0.5402770673486786,0.5462081202046036,0.5192368032484311,0.51875,0.6796221345918704,1264684
imagine_cnn,cross_subject_data_9_new_20_subjects,"[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]","[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]",688933,0.50625,0.5106500933706816,0.5055548260971054,0.5189861034303216,0.50625,0.6767434017552625,1264684
imagine_rnn,cross_subject_data_0_new_20_subjects,"[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]","[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]",688933,0.35,0.3454520285915635,0.3537362830967482,0.3451522901650779,0.35,0.5642687560593692,893956
imagine_rnn,cross_subject_data_1_new_20_subjects,"[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]","[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]",688933,0.3375,0.37861232356442376,0.37360729267048354,0.3324793182142348,0.3375,0.5546006858115016,893956
imagine_rnn,cross_subject_data_2_new_20_subjects,"[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]","[94, 40, 57, 22, 67, 33, 30, 86, 85, 12, 28, 51, 13, 59, 50, 75, 87, 105, 6, 39]",688933,0.29375,0.3193783068783069,0.32856646825396824,0.31251601379650157,0.29375,0.5412922142565816,893956
